address,pro_tx_hash,kind,valid,status,stale,score,grade,headers_synced,headers_target,headers_per_sec,filter_headers_synced,filters_synced,filters_per_sec,advertised_height,connect_ms,avg_ping_ms,bytes_received,timeouts,validation_failures,total_secs,error
188.226.224.233:9999,319890e005f6512ca029403480d16268da0f6f10ee983db19963550af2473402,Regular,true,done,false,98.2,A,52843,52843,7582.3,52843,52843,13106.1,2502843,215,217,27531616,0,0,10.25,
178.208.87.221:9999,14caec03b64dab3e2d26807fc5101735194197a68990cb283ad3ebbc88a43b02,Regular,true,done,false,89.5,B,52843,52843,1644.8,52843,52843,2982.6,2502843,371,377,24574495,0,0,39.76,
188.40.180.135:9999,3b86147d2c4ff0549e4cbd9d755cc0dcf434ed8c608f1680a9e0bd168126a102,Regular,true,done,false,97.4,A,52843,52843,7312.8,52843,52843,13840.9,2502843,263,286,27340575,0,0,10.50,
8.219.234.148:9999,a5d0af51d7e64900f2bcd3085dfe34a151085f208bfdc0b90d4fdec213a1e802,Regular,true,done,false,95.8,A,52843,52843,5822.6,52843,52843,10407.9,2502843,424,425,27454298,0,0,13.25,
109.199.97.144:9999,757d672c78fc11fa30ad4709d47cfeafd6289c2895ca09ad840ca10d035dea02,Evo,true,done,false,97.8,A,52843,52843,7189.0,52843,52843,13390.9,2502843,248,250,27327803,0,0,10.75,
8.219.228.99:9999,b3fade6a0306792d3fbc1e592bb1a6382fd6f2672b222c06b7df2f00641f4503,Regular,true,done,false,95.7,A,52843,52843,7463.3,52843,52843,12868.3,2502843,425,428,27314699,0,0,11.51,
161.97.180.182:9999,156abacbe8a58236b8a982b375fc11499e4984dc4504a99aa5b9b24da62f5d03,Evo,true,done,false,97.7,A,52843,52843,6123.6,52843,52843,8500.4,2502843,271,260,26924237,0,0,14.76,
89.35.131.218:9999,9d5eea2d699a055d71a042326832b948ca3b3de8928f5697f6e9acbf6fdc7603,Evo,true,done,false,98.1,A,52843,52843,6998.2,52843,52843,10840.2,2502843,213,225,27293948,0,0,11.76,
45.76.94.156:9999,68db95cc62ca4c1946d6a8d2722634ddd8ef80ab44caa9fd6fd993320fe8a903,Regular,false,failed,,,,,,,,,,,,,,,,,no connection within 15s
135.181.8.82:9999,80957a66681c9408efe04be251c30f844f11cfc106c0ff95e768f81bf860b603,Regular,true,done,false,97.4,A,52843,52843,7309.0,52843,52843,11652.2,2502843,447,266,27389431,0,0,11.51,
