address,pro_tx_hash,kind,valid,status,stale,score,grade,headers_synced,headers_target,headers_per_sec,filter_headers_synced,filters_synced,filters_per_sec,advertised_height,connect_ms,avg_ping_ms,bytes_received,timeouts,validation_failures,total_secs,error
93.190.140.101:9999,914450083406ca13d846da8df398fd7da6ee14d0212b29144554d069394b8001,Regular,true,done,false,98.2,A,2843,2843,5686.0,2843,2843,10024.0,2502843,211,213,1103419,0,0,1.76,
151.244.85.9:9999,5901cde754878378e193194d794c164837620708f66433d505215159cc908101,Regular,true,done,false,97.2,A,2843,2843,5686.0,2843,2843,7385.6,2502843,294,300,1117490,0,0,2.26,
159.65.59.244:9999,c800f1a9f772b3e9912c5431cb304a4fee03d7232ca062abcfde6f6376038b01,Regular,true,done,false,98.3,A,2843,2843,5686.0,2843,2843,10238.7,2502843,206,207,1092622,0,0,1.75,
176.123.57.206:9999,2a590f2648c7a6979e689b1010e04e46e49544025ff1b221328347cc2aa5b201,Regular,false,failed,,,,,,,,,,,,,,,,,no connection within 15s
178.62.236.233:9999,01a9810a299263b05ba5a1bb9e14e2c191d69266674830be9bc8fe721224c101,Regular,true,done,false,98.1,A,2843,2843,5686.0,2843,2843,10242.2,2502843,216,220,1139274,0,0,1.76,
151.244.85.155:9999,2cd4c562bda29b4c4bffe0c74d55ba08f4a169b741872ca571662f7e5b0cd301,Regular,true,done,false,96.9,A,2843,2843,5686.0,2843,2843,8806.9,2502843,295,327,1111297,0,0,2.25,
5.189.145.80:9999,5dd3585287d5401405c915306d7e206444d63bd0ce1b1dd190dff73de6a70502,Evo,true,done,false,95.1,A,2843,2843,5686.0,2843,2843,7525.5,2502843,600,469,1070622,0,0,2.76,
161.97.85.159:9999,9066131ee934d02233031e15775a8c24caa6707382395fa43a211d6b89033202,Evo,true,done,false,97.3,A,2843,2843,5686.0,2843,2843,7713.1,2502843,722,247,1041694,0,0,2.51,
188.226.224.233:9999,319890e005f6512ca029403480d16268da0f6f10ee983db19963550af2473402,Regular,true,done,false,98.2,A,2843,2843,5686.0,2843,2843,8947.9,2502843,212,213,1079211,0,0,2.01,
178.208.87.221:9999,14caec03b64dab3e2d26807fc5101735194197a68990cb283ad3ebbc88a43b02,Regular,true,done,false,95.6,A,2843,2843,5686.0,2843,2843,3292.3,2502843,423,437,1043298,0,0,3.84,
188.40.180.135:9999,3b86147d2c4ff0549e4cbd9d755cc0dcf434ed8c608f1680a9e0bd168126a102,Regular,true,done,false,97.4,A,2843,2843,5686.0,2843,2843,9196.3,2502843,366,273,1084394,0,0,2.25,
8.219.234.148:9999,a5d0af51d7e64900f2bcd3085dfe34a151085f208bfdc0b90d4fdec213a1e802,Regular,true,done,false,95.8,A,2843,2843,5686.0,2843,2843,4027.4,2502843,423,425,1081285,0,0,3.78,
109.199.97.144:9999,757d672c78fc11fa30ad4709d47cfeafd6289c2895ca09ad840ca10d035dea02,Evo,true,done,false,97.7,A,2843,2843,5686.0,2843,2843,7854.4,2502843,257,257,1122054,0,0,2.17,
8.219.228.99:9999,b3fade6a0306792d3fbc1e592bb1a6382fd6f2672b222c06b7df2f00641f4503,Regular,true,done,false,95.8,A,2843,2843,5686.0,2843,2843,5522.5,2502843,426,425,1086550,0,0,3.26,
161.97.180.182:9999,156abacbe8a58236b8a982b375fc11499e4984dc4504a99aa5b9b24da62f5d03,Evo,true,done,false,98.1,A,2843,2843,5686.0,2843,2843,10001.8,2502843,222,225,1133786,0,0,1.76,
89.35.131.218:9999,9d5eea2d699a055d71a042326832b948ca3b3de8928f5697f6e9acbf6fdc7603,Evo,true,done,false,98.2,A,2843,2843,5686.0,2843,2843,8223.4,2502843,210,211,1125019,0,0,1.98,
45.76.94.156:9999,68db95cc62ca4c1946d6a8d2722634ddd8ef80ab44caa9fd6fd993320fe8a903,Regular,false,failed,,,,,,,,,,,,,,,,,no connection within 15s
135.181.8.82:9999,80957a66681c9408efe04be251c30f844f11cfc106c0ff95e768f81bf860b603,Regular,true,done,false,95.2,A,2843,2843,5686.0,2843,2843,9372.8,2502843,245,496,1090382,0,0,2.00,
66.245.196.52:9999,801a47e66cae32f74b3a2a241d9b8efc467b1cf0db18e85c07683d1765ace003,Evo,true,done,false,98.4,A,2843,2843,5686.0,2843,2843,9762.2,2502843,197,198,1138166,0,0,2.01,
138.197.141.70:9999,a239ad07a5b7b2919ea4a9dc5101c9d80f124e0d8adcd8cffd110dcfd4dde003,Regular,true,done,false,99.7,A,2843,2843,5686.0,2843,2843,7006.3,2502843,172,75,1133512,0,0,1.65,
34.209.37.222:9999,466f1b8c3c8af9c9ab67ab084f7b04d8c960cba34922e902953f1da8a819e503,Regular,true,done,false,99.4,A,2843,2843,5686.0,2843,2843,11372.0,2502843,102,104,1123767,0,0,1.26,
168.119.80.12:9999,aa935d19d079ddead0a14dad769ca724d599383d7fbe469ed5dba2c22b7c0c04,Regular,true,done,false,97.4,A,2843,2843,5686.0,2843,2843,4652.0,2502843,263,283,1071122,0,0,2.76,
139.180.158.125:9999,590a2512c915b24ccc86b852431f0de1014a25542f08645f70f242b715e42004,Regular,false,failed,,,,,,,,,,,,,,,,,no connection within 15s
142.93.38.4:9999,59e5bfe32c3518664505b08e9c3eb392fa933e49d50a641602c3068230333404,Regular,true,done,false,98.3,A,2843,2843,5686.0,2843,2843,10568.7,2502843,202,203,1143289,0,0,1.77,
192.248.169.180:9999,93c83f915d010abb8ca4fbb57f8fb1d4ae37738a7092ec9f84bcea29d4053904,Regular,true,done,false,98.3,A,2843,2843,5686.0,2843,2843,10856.6,2502843,202,205,1022202,0,0,1.76,
178.128.80.241:9999,f856bb047fc076d55a535f7352fe64071eaff7b57408d57bdea3fa24d2d26704,Regular,true,done,false,95.7,A,2843,2843,5686.0,2843,2843,6552.5,2502843,441,426,1095638,0,0,2.76,
157.173.122.20:9999,0b8241b78742cc7b8e2d2a2d00489fa4bf975afa1f381bce5b0d1bb0fb7b6c04,Evo,true,done,false,98.1,A,2843,2843,5686.0,2843,2843,9874.2,2502843,228,225,1129478,0,0,1.76,
46.4.162.103:9999,fe0b95356aa77dc36a40e416914a2ea9203aafcfad5d832c8343b77238109204,Regular,true,done,false,97.2,A,2843,2843,5686.0,2843,2843,8694.2,2502843,584,273,1082296,0,0,2.50,
46.30.189.251:9999,582a9660e7edbd0f37176e5454b5159cf4f60f19206a105c0d6b68c362dda804,Regular,true,done,false,98.1,A,2843,2843,5686.0,2843,2843,9653.8,2502843,220,219,1122439,0,0,1.76,
